# 数据结构课程知识体系

## 核心概念（CON）
### 基础结构
数据结构,CON
数组,CON  
链表,CON  
栈,CON  
队列,CON  
双端队列,CON  
优先队列,CON  
树,CON  
二叉树,CON  
二叉搜索树,CON  
AVL树,CON  
红黑树,CON  
B树,CON  
B+树,CON  
堆,CON  
图,CON  
有向图,CON  
无向图,CON  
加权图,CON  
邻接矩阵,CON  
邻接表,CON  
哈希表,CON  
集合,CON  
字典,CON  
字符串,CON  
前缀树,CON  
森林,CON  

### 结构属性
节点,CON  
边,CON  
度,CON  
路径,CON  
环,CON  
连通分量,CON  
叶子节点,CON  
根节点,CON  
父节点,CON  
子节点,CON  
兄弟节点,CON  
度数序列,CON  
层次结构,CON  
父子关系,CON  
兄弟关系,CON  

### 存储方式
逻辑结构,CON  
物理结构,CON  
顺序存储,CON  
链式存储,CON  
索引存储,CON  
散列存储,CON  
紧凑存储,CON  
稀疏存储,CON  
连续存储,CON  
非连续存储,CON  
动态存储,CON  
静态存储,CON  

### 数据操作
插入操作,CON  
删除操作,CON  
查找操作,CON  
遍历操作,CON  
排序操作,CON  
更新操作,CON  
访问操作,CON  
初始化,CON  
销毁操作,CON  
容量管理,CON  
异常处理,CON  

### 性能指标
时间复杂度,CON  
空间复杂度,CON  
渐近分析,CON  
最坏情况,CON  
平均情况,CON  
最佳情况,CON  
主定理,CON  
稳定性,CON  
原地算法,CON  
原地排序,CON  
比较排序,CON  
非比较排序,CON  
自适应排序,CON  
稳定排序,CON  
内部排序,CON  
外部排序,CON  

### 抽象概念
抽象数据类型,CON  
数据封装,CON  
接口定义,CON  
信息隐蔽,CON  
数据抽象,CON  
模式匹配,CON  
递归结构,CON  
迭代结构,CON  
递推关系,CON  
生成函数,CON  

### 特殊结构
线索二叉树,CON  
哈夫曼树,CON  
伸展树,CON  
Treap树,CON  
斐波那契堆,CON  
线段树,CON  
树状数组,CON  
并查集,CON  
跳跃表,EXT  
位图,EXT  
布隆过滤器,EXT  
LRU缓存,EXT  
LFU缓存,EXT  
FIFO缓存,EXT  

### 关键理论
递归方程,CON  
分治策略,ARI  
贪心选择,ARI  
动态规划,ARI  
回溯策略,ARI  
分支限界,ARI  
Amortized分析,ARI  
Bellman-Ford算法,ARI  
SPFA算法,ARI  
拓扑排序算法,ARI  
关键路径算法,ARI  
强连通分量算法,ARI  

## 算法及定理（ARI）
### 排序算法
冒泡排序,ARI  
选择排序,ARI  
插入排序,ARI  
希尔排序,ARI  
归并排序,ARI  
快速排序,ARI  
堆排序,ARI  
计数排序,ARI  
基数排序,ARI  
桶排序,ARI  

### 搜索算法
深度优先搜索,ARI  
广度优先搜索,ARI  
Dijkstra算法,ARI  
Floyd-Warshall算法,ARI  
Kruskal算法,ARI  
Prim算法,ARI  
A*算法,ARI  
KMP算法,ARI  
Boyer-Moore算法,ARI  
Rabin-Karp算法,ARI  

### 图算法
拓扑排序,ARI  
最小生成树,ARI  
最短路径,ARI  
最大流算法,ARI  
费用流算法,ARI  
匹配算法,ARI  
差分约束系统,ARI  
矩阵链乘法,ARI  

### 树算法
二叉搜索树操作,ARI  
AVL树旋转,ARI  
红黑树调整,ARI  
B树分裂,ARI  
B+树索引,ARI  
堆调整,ARI  

### 理论体系
分治法,ARI  
贪心法,ARI  
回溯法,ARI  
分支限界法,ARI  
动态规划,ARI  
Amortized分析,ARI  
主定理,ARI  
Bellman-Ford算法,ARI  
Tarjan算法,ARI  
Karger's算法,ARI  
Christofides算法,ARI  


## 扩展术语（EXT）
### 存储结构
散列文件,EXT  
顺序文件,EXT  
索引文件,EXT  
倒排文件,EXT  
循环链表,EXT  
双向链表,EXT  
循环队列,EXT  
双向队列,EXT  
邻接多重表,EXT  
十字链表,EXT  
AOV网,EXT  
AOE网,EXT  

### 性能优化
负载因子,EXT  
冲突解决,EXT  
开放寻址,EXT  
链地址法,EXT  
完美哈希,EXT  
一致性哈希,EXT  
布隆过滤器,EXT  
LRU缓存,EXT  
LFU缓存,EXT  
FIFO缓存,EXT  
跳跃表,EXT  
位图,EXT  
稀疏矩阵,EXT  

### 高级数据结构
Treap树,EXT  
伸展树,EXT  
斐波那契堆,EXT  
线段树,EXT  
树状数组,EXT  
并查集,EXT  
后缀数组,EXT  
后缀自动机,EXT  
Z型遍历,EXT  
Morris遍历,EXT  

### 算法优化
双指针技巧,EXT  
滑动窗口,EXT  
二进制优化,EXT  
倍增思想,EXT  
离线处理,EXT  
虚节点技术,EXT  
启发式合并,EXT  
笛卡尔树,EXT  
左偏树,EXT  
斜堆,EXT  
二项堆,EXT  

### 理论扩展
分块思想,EXT  
块状数组,EXT  
线段树合并,EXT  
可撤销数据结构,EXT  
持久化线段树,EXT  
快照数组,EXT  
离散化技术,EXT  
坐标离散化,EXT  
值域离散化,EXT  

### 复杂度分析
摊还分析,EXT  
势能函数,EXT  
懒惰标记,EXT  
延迟更新,EXT  
协同程序,EXT  
协程调度,EXT  
异步I/O模型,EXT  
内存池技术,EXT  
对象池化,EXT  
零拷贝技术,EXT  
内存屏障,EXT  
缓存行对齐,EXT  
伪共享问题,EXT  
